PIN,Lat,Long
110001,28.6327426,77.2195969
110002,28.6352202,77.2468858
110003,28.5916468,77.2317863
110004,28.6141527,77.1959622
110005,28.6556793,77.1874601
110006,28.6610779,77.2345881
110007,28.6785828,77.191584
110008,28.6482162,77.1640718
110009,28.7108654,77.2031493
110010,28.5929297,77.1218197
110011,28.604077,77.2116108
110012,28.6282145,77.1493904
110013,28.5891197,77.2568426
110014,28.5792764,77.2584768
110015,28.6589251,77.1457614
110016,28.5471702,77.2002745
110017,28.5279118,77.2088987
110018,28.6436082,77.0869837
110019,28.5346916,77.2601742
110020,28.5388479,77.2753728
110021,28.5883628,77.1859069
110022,28.564058,77.1736968
110023,28.5748119,77.199129
110024,28.5683786,77.2416464
110025,28.562147,77.285702
110026,28.6683157,77.1365404
110027,28.6464731,77.1169452
110028,28.631833,77.1387588
110029,28.5647191,77.2003236
110030,28.4956835,77.1664945
110031,28.6508353,77.267595
110032,28.6865527,77.2922157
110033,28.7235555,77.1756757
110034,28.6930443,77.1350949
110035,28.6738274,77.1642584
110036,28.8222004,77.1718134
110037,28.5441475,77.1159808
110038,28.5132203,77.109319
110039,28.8001581,77.0354852
110040,28.834898,77.0898784
110041,28.6696613,77.0568756
110042,28.7505846,77.1419808
110043,28.611665,76.978678
110044,28.5006897,77.3152116
110045,28.5965884,77.082604
110046,28.6040739,77.0979509
110047,28.4717584,77.1315321
110048,28.54786,77.2376414
110049,28.5623635,77.223073
110050,20.593684,78.96288
110051,28.6569035,77.2822923
110052,28.689477,77.1754088
110053,28.6756862,77.2596337
110054,28.6903983,77.2275394
110055,28.645567,77.2110972
110056,28.6812362,77.1211068
110057,28.5616397,77.1558839
110058,28.6217426,77.0882695
110059,28.6217627,77.0558233
110060,28.6354261,77.1856762
110061,28.5350902,77.0565521
110062,28.5099937,77.2354845
110063,28.6698791,77.1069164
110064,28.6258689,77.1142577
110065,28.5678123,77.2616473
110066,28.567447,77.1873371
110067,28.543301,77.1682675
110068,28.4820159,77.2170731
110069,28.6096772,77.2279415
110070,28.5124389,77.1370115
110071,28.5613397,77.0020877
110072,28.6837776,76.9709282
110073,28.5709305,76.9058293
110074,28.4550173,77.1837006
110075,28.5899848,77.0443796
110076,28.531953,77.2958536
110077,28.5709904,77.0718408
110078,28.6102254,77.0300594
110079,28.5998515,77.048926
110080,28.4965582,77.2386309
110081,28.7343765,77.0110492
110082,28.7762372,77.1001626
110083,28.6925257,77.0884449
110084,28.7578821,77.199756
110085,28.7153451,77.1088008
110086,28.7019847,77.0788689
110087,28.6703213,77.0857675
110088,28.7122105,77.1590304
110089,28.7358942,77.1286829
110090,28.5488154,77.253805
110091,28.6078909,77.3054884
110092,28.6362211,77.2922332
110093,28.6974374,77.3156292
110094,28.7156702,77.277957
110095,28.6761864,77.3159348
110096,28.5953246,77.3118642
110097,28.5266528,77.0791514
110098,20.593684,78.96288
110100,20.593684,78.96288
121001,28.3899664,77.2979782
121002,28.419423,77.3668965
121003,28.4538607,77.3032742
121004,28.2919383,77.355413
121005,28.3700239,77.2692503
121006,28.3733754,77.335314
121007,28.3889884,77.3180836
121008,28.4349347,77.3180836
121009,28.4870386,77.2922332
121010,28.4666747,77.2893606
121011,20.593684,78.96288
